1w29	735	347	10	136	15	0	66	63	0.492517	0.198639	0.691156
1wit	93	0	3	48	3	0	13	5	0.032258	0.548387	0.580645
1wiu	93	0	3	48	3	0	8	10	0.032258	0.548387	0.580645
1wtl	217	0	1	107	6	0	30	20	0.027650	0.497696	0.525346
1yn4	99	21	0	42	6	0	7	7	0.272727	0.424242	0.696970
2dlf	234	0	3	113	15	0	29	17	0.064103	0.495726	0.559829
2igd	61	14	0	26	0	0	6	4	0.229508	0.426230	0.655738
2imm	114	0	0	58	3	0	17	10	0.026316	0.508772	0.535088
2ncm	99	0	0	55	0	0	8	18	0.000000	0.555556	0.555556
2rox	235	12	3	119	0	0	35	16	0.051064	0.519149	0.570213
2sak	121	12	0	54	0	0	19	8	0.099174	0.446281	0.545455
2try	255	13	3	119	0	0	40	24	0.050980	0.478431	0.529412
4lve	228	0	0	116	6	0	34	22	0.026316	0.508772	0.535088
5lve	114	0	0	58	3	0	17	10	0.026316	0.508772	0.535088
